obj_id,ra,dec,filter,mjd,instrument_id,instrument_name,ra_unc,dec_unc,origin,id,groups,altdata,mag,magerr,magsys,limiting_mag
ZTF19aadyppr,202.4266632,47.1879687,ztfr,58580.35217589978,1,ZTF,,,,1771865,"[22, 37, 41, 43]",,17.188100814819336,0.05983399972319603,ab,20.629600524902344
ZTF19aadyppr,202.4266772,47.1879741,ztfr,58582.22943289997,1,ZTF,,,,1771866,"[22, 37, 41, 43]",,17.284400939941406,0.058758001774549484,ab,20.647199630737305
ZTF19aadyppr,202.4266974,47.1879583,ztfr,58583.328842599876,1,ZTF,,,,1771867,"[22, 37, 41, 43]",,17.213199615478516,0.03765999898314476,ab,20.283100128173828
ZTF19aadyppr,202.4267068,47.1879548,ztfg,58583.36140049994,1,ZTF,,,,1771868,"[22, 37, 41, 43]",,18.842300415039062,0.12667599320411682,ab,20.310800552368164
ZTF19aadyppr,202.4266651,47.1879584,ztfr,58586.32803239999,1,ZTF,,,,1771869,"[22, 37, 41, 43]",,17.25510025024414,0.049111999571323395,ab,20.375900268554688
ZTF19aadyppr,202.4271233,47.1879841,ztfr,58589.21918979986,1,ZTF,,,,1771870,"[22, 37, 41, 43]",,17.28809928894043,0.27566400170326233,ab,16.576900482177734
ZTF19aadyppr,202.4266732,47.1879733,ztfr,58612.23394680023,1,ZTF,,,,1771883,"[22, 37, 41, 43]",,17.671499252319336,0.0485289990901947,ab,20.916400909423828
ZTF19aadyppr,202.4267204,47.1879676,ztfg,58612.28729170002,1,ZTF,,,,1771884,"[22, 37, 41, 43]",,19.50979995727539,0.10281799733638763,ab,21.213899612426758
ZTF19aadyppr,202.4266885,47.1879582,ztfr,58616.18489579996,1,ZTF,,,,1771885,"[22, 37, 41, 43]",,17.645599365234375,0.05593499913811684,ab,20.12299919128418
ZTF19aadyppr,202.4266792,47.1879612,ztfg,58616.2607522998,1,ZTF,,,,1771886,"[22, 37, 41, 43]",,19.51689910888672,0.16586099565029147,ab,20.098400115966797
ZTF19aadyppr,202.4266885,47.1879816,ztfr,58618.217222199775,1,ZTF,,,,1771887,"[22, 37, 41, 43]",,17.687400817871094,0.06479799747467041,ab,19.919300079345703
ZTF19aadyppr,,,ztfr,58619.16546300007,1,ZTF,,,,1771888,"[22, 37, 41, 43]",,,,ab,16.863500595092773
ZTF19aadyppr,202.4266765,47.1879614,ztfr,58589.26223379979,1,ZTF,,,,1771871,"[22, 37, 41, 43]",,17.325599670410156,0.05510399863123894,ab,19.622699737548828
ZTF19aadyppr,202.4266786,47.187973,ztfr,58679.196030099876,1,ZTF,,,,1771915,"[22, 37, 41, 43]",,18.959699630737305,0.09877999871969223,ab,20.081300735473633
ZTF19aadyppr,,,ztfg,58589.36385420011,1,ZTF,,,,1771872,"[22, 37, 41, 43]",,,,ab,17.337600708007812
ZTF19aadyppr,202.4267075,47.1879457,ztfg,58592.19390049996,1,ZTF,,,,1771873,"[22, 37, 41, 43]",,19.002099990844727,0.16286399960517883,ab,19.232500076293945
ZTF19aadyppr,202.4266855,47.1879603,ztfr,58592.27885420015,1,ZTF,,,,1771874,"[22, 37, 41, 43]",,17.302099227905273,0.06068899855017662,ab,19.579500198364258
ZTF19aadyppr,202.4266555,47.1879716,ztfr,58593.28959489986,1,ZTF,,,,1771875,"[22, 37, 41, 43]",,17.338699340820312,0.0631759986281395,ab,19.66699981689453
ZTF19aadyppr,,,ztfr,58619.207372699864,1,ZTF,,,,1771889,"[22, 37, 41, 43]",,,,ab,17.329500198364258
ZTF19aadyppr,,,ztfg,58679.281701399945,1,ZTF,,,,1771916,"[22, 37, 41, 43]",,,,ab,19.21430015563965
ZTF19aadyppr,202.4267019,47.1879326,ztfg,58619.25787039986,1,ZTF,,,,1771890,"[22, 37, 41, 43]",,19.529300689697266,0.34918299317359924,ab,19.146299362182617
